ticker,asset_class,source_index,sector,company,source_url
LLOY.L,equity,ftse100,Banks,Lloyds Banking Group,https://en.wikipedia.org/wiki/FTSE_100_Index
LMP.L,equity,ftse100,Real Estate Investment Trusts,LondonMetric Property,https://en.wikipedia.org/wiki/FTSE_100_Index
LRE.L,equity,ftse250,Nonlife Insurance,Lancashire Holdings,https://en.wikipedia.org/wiki/FTSE_250_Index
LSEG.L,equity,ftse100,Financial services,London Stock Exchange Group,https://en.wikipedia.org/wiki/FTSE_100_Index
LWDB.L,equity,ftse250,Investment Trusts,Law Debenture,https://en.wikipedia.org/wiki/FTSE_250_Index
MAB.L,equity,ftse250,Travel & Leisure,Mitchells & Butlers,https://en.wikipedia.org/wiki/FTSE_250_Index
MEGP.L,equity,ftse250,Leisure Goods,ME Group International,https://en.wikipedia.org/wiki/FTSE_250_Index
MGAM.L,equity,ftse250,Electronic & Electrical Equipment,Morgan Advanced Materials,https://en.wikipedia.org/wiki/FTSE_250_Index
MGNS.L,equity,ftse250,Construction & Materials,Morgan Sindall Group,https://en.wikipedia.org/wiki/FTSE_250_Index
MKS.L,equity,ftse100,Food & drug retailing,Marks & Spencer,https://en.wikipedia.org/wiki/FTSE_100_Index
MNDI.L,equity,ftse250,Containers & packaging,Mondi,https://en.wikipedia.org/wiki/FTSE_250_Index
MNG.L,equity,ftse100,Financial services,M&G,https://en.wikipedia.org/wiki/FTSE_100_Index
MNKS.L,equity,ftse250,Investment Trusts,Monks Investment Trust,https://en.wikipedia.org/wiki/FTSE_250_Index
MNTN.L,equity,ftse250,Investment Trusts,Schiehallion Fund,https://en.wikipedia.org/wiki/FTSE_250_Index
MONY.L,equity,ftse250,Media,MONY Group,https://en.wikipedia.org/wiki/FTSE_250_Index
MOON.L,equity,ftse250,Retailers,Moonpig,https://en.wikipedia.org/wiki/FTSE_250_Index
MRC.L,equity,ftse250,Collective Investments,Mercantile Investment Trust,https://en.wikipedia.org/wiki/FTSE_250_Index
MRCH.L,equity,ftse250,Investment Trusts,Merchants Trust,https://en.wikipedia.org/wiki/FTSE_250_Index
MRO.L,equity,ftse100,Aerospace & defence,Melrose Industries,https://en.wikipedia.org/wiki/FTSE_100_Index
