ticker,asset_class,source_index,sector,company,security_code,source_url
9064.T,equity,nikkei225,UNKNOWN,"YAMATO HOLDINGS CO., LTD.",9064,https://indexes.nikkei.co.jp/en/nkave/index/component
9101.T,equity,nikkei225,UNKNOWN,NIPPON YUSEN K.K.,9101,https://indexes.nikkei.co.jp/en/nkave/index/component
9104.T,equity,nikkei225,UNKNOWN,"MITSUI O.S.K.LINES, LTD.",9104,https://indexes.nikkei.co.jp/en/nkave/index/component
9107.T,equity,nikkei225,UNKNOWN,"KAWASAKI KISEN KAISHA, LTD.",9107,https://indexes.nikkei.co.jp/en/nkave/index/component
9147.T,equity,nikkei225,UNKNOWN,"NIPPON EXPRESS HOLDINGS, INC.",9147,https://indexes.nikkei.co.jp/en/nkave/index/component
9201.T,equity,nikkei225,UNKNOWN,"JAPAN AIRLINES CO., LTD.",9201,https://indexes.nikkei.co.jp/en/nkave/index/component
9202.T,equity,nikkei225,UNKNOWN,ANA HOLDINGS INC.,9202,https://indexes.nikkei.co.jp/en/nkave/index/component
9432.T,equity,nikkei225,UNKNOWN,"NTT, INC.",9432,https://indexes.nikkei.co.jp/en/nkave/index/component
9433.T,equity,nikkei225,UNKNOWN,KDDI CORP.,9433,https://indexes.nikkei.co.jp/en/nkave/index/component
9434.T,equity,nikkei225,UNKNOWN,SOFTBANK CORP.,9434,https://indexes.nikkei.co.jp/en/nkave/index/component
9501.T,equity,nikkei225,UNKNOWN,"TOKYO ELECTRIC POWER COMPANY HOLDINGS, I",9501,https://indexes.nikkei.co.jp/en/nkave/index/component
9502.T,equity,nikkei225,UNKNOWN,"CHUBU ELECTRIC POWER CO., INC.",9502,https://indexes.nikkei.co.jp/en/nkave/index/component
9503.T,equity,nikkei225,UNKNOWN,"THE KANSAI ELECTRIC POWER CO., INC.",9503,https://indexes.nikkei.co.jp/en/nkave/index/component
9531.T,equity,nikkei225,UNKNOWN,"TOKYO GAS CO., LTD.",9531,https://indexes.nikkei.co.jp/en/nkave/index/component
9532.T,equity,nikkei225,UNKNOWN,"OSAKA GAS CO., LTD.",9532,https://indexes.nikkei.co.jp/en/nkave/index/component
9602.T,equity,nikkei225,UNKNOWN,"TOHO CO., LTD",9602,https://indexes.nikkei.co.jp/en/nkave/index/component
9735.T,equity,nikkei225,UNKNOWN,"SECOM CO., LTD.",9735,https://indexes.nikkei.co.jp/en/nkave/index/component
9766.T,equity,nikkei225,UNKNOWN,KONAMI GROUP CORP.,9766,https://indexes.nikkei.co.jp/en/nkave/index/component
9843.T,equity,nikkei225,UNKNOWN,"NITORI HOLDINGS CO., LTD.",9843,https://indexes.nikkei.co.jp/en/nkave/index/component
9983.T,equity,nikkei225,UNKNOWN,"FAST RETAILING CO., LTD.",9983,https://indexes.nikkei.co.jp/en/nkave/index/component
9984.T,equity,nikkei225,UNKNOWN,SOFTBANK GROUP CORP.,9984,https://indexes.nikkei.co.jp/en/nkave/index/component
